城市,评论,昵称,性别,评分,观影时间
肇庆,很好看，演技爆棚,樱花奶油兔美,2,5.0,2018-10-01 11:31
汕头,很好看，全程无尿点,zZG442876907,0,5.0,2018-10-01 11:31
北京,不错，是庄文强的风格，周润发和郭富城演得都很好。,chenwenzheng,0,5.0,2018-10-01 11:30
东莞,不错！！！！！！,mao吾,1,5.0,2018-10-01 11:30
东莞,我们大家都在变，唯一不变的还是发哥，一样帅气，剧情反转，燃爆现场,安妮8309,2,5.0,2018-10-01 11:29
顺德,预计不到结局大反转,qcH317565416,0,3.5,2018-10-01 11:29
上海,非常完美！！！！！年度最佳，没有之一！！！！其实看的结局，可以更牛叉点，秀清没必要和渣男一起死，应该替代他，成为新的画家！,cloudcm,1,5.0,2018-10-01 11:27
三亚,还不错全程没尿点,竹子星辰,0,4.5,2018-10-01 11:27
合肥,还行吧，但是没怎么看懂,小斯先生,1,4.0,2018-10-01 11:25
深圳,最后得结局让我始料不及,LmB396603213,0,5.0,2018-10-01 11:24
石家庄,很有诚意的一部港片，无论是伪钞制作过程全纪录，还是周润发郭富城双影帝飚戏，都让人大呼过瘾；多处致敬香港经典警匪片，发哥双枪扫射暴走让人瞬间梦回30年前；部分剧情在细节上抠得太细，显得节奏有些拖沓、台词啰嗦，最后半小时多次上演大反转，虽然有些能想到，但整体还是挺出乎意料的；最后，印假钞真的是一个难度很大的技术活啊。,ww78122,1,3.5,2018-10-01 11:24
东莞,看得我打瞌睡,Qiu802246195,1,2.0,2018-10-01 11:22
沈阳,剧情还可以，就是情节处理的没有那么精彩，挺平淡的,MHG412406332,0,3.5,2018-10-01 11:22
上海,周润发的演技超喜欢，电影剧情不错，有点烧脑,GVZ995972348,1,4.5,2018-10-01 11:22
东莞,周潤發终于又有精彩的演出~,CHARLES1688888,1,5.0,2018-10-01 11:22
深圳,为了这么大岁数的发哥给个10分可以咯，剧情的反转真的让人措手不及，不过可能是我水平太低了，有一些反转之后没看明白，但是整体还是比较好看的,坐看烟雨2017,1,5,2018-10-01 11:21
柳州,简直是垃圾，一个差字难以形容，影帝也拍这样的烂片，无语了，看一半直接离场,gVy913822358,2,1,2018-10-01 11:21
广州,好看，刺激，发哥太帅了。。,米澜487,2,5,2018-10-01 11:19
三门峡,很棒，结尾很精彩，两大影帝奉献了一流的表演，稍微有些小瑕疵，但瑕不掩瑜，国庆观影的不二之选。,天泣825,1,5,2018-10-01 11:19
天津,经典港片，值得一看,ywd1234567,0,5,2018-10-01 11:18
深圳,编剧还可以，超乎想象，值得一看,aber6789,1,4.5,2018-10-01 11:17
佛山,无双无敌，画中画，局中局，戏中戏！,vkchung,1,4,2018-10-01 11:17
上海,剧情还是不错的，就是没有很投入的看,_tencent66932385,0,4,2018-10-01 11:16
青岛,这部算是这个黄金周最好的一部片子了！,superhuman5,0,4,2018-10-01 11:16
广州,故事情节从头到尾设计的还是很好的 发哥还是那个发哥  郭富城的演技真是炸裂 其实最开始看到中间的时候感觉略枯燥还以为是一般的警匪片 到了结尾终于有了画龙点睛的感觉 整个故事就完整了 电影的每一个情节都是事先铺垫好的 没一个浪费灌水的镜头  最后我想说电影名字真是取得特别好,_sina49810448111,2,4,2018-10-01 11:16
沈阳,剧情很棒，庄文强编剧导演的片子很有品质，像《窃听风云》、《伤城》，戏剧性很强，周润发演绎的也很棒，无论大佬还是小人物都驾驭自如，生动有趣，票价很值啊！,zoul515,0,5,2018-10-01 11:15
海口,情节紧张无尿点！最后还有反转~,rs114014015,1,4,2018-10-01 11:14
瑞昌,一般般还可以,刘久福,1,3,2018-10-01 11:14
惠阳,反差，，，，厉害,咸蛋耶耶耶,0,4.5,2018-10-01 11:14
衡阳,终于有正常港片的效果，不过故事情节看到最后有点老套。有个感觉，发哥像一个配角，整体还是不错。,Jolin_90,2,4.5,2018-10-01 11:13
北京,港片好久没有这么精彩的了，郭和发哥的演技太好了，看到尾端，耐人寻味！,Bhv623674064,0,5,2018-10-01 11:13
中山,昨天看了，非常不错。情节转变大，紧张,MTj417176311,0,5,2018-10-01 11:13
